call_id,method,invite_time,response_times_ms,final_status,latency_ms,anomaly,latency_100,latency_180,latency_200,invite_to_180_gap,anomaly_flag
0000316D-000004BC-DB2D1A8B-258@2001:1234:5678:9abc:2754:43:8d00:0,INVITE,2015-08-05 15:57:18.989775,"{'100': 1007, '183': 1034, '200': 4544}",200 OK,4544.0,True,1007.0,,4544.0,,-1
000002FB-00001068-E3C73D10-7010@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.996445,"{'100': 1, '183': 4, '200': 3505}",200 OK,3505.0,True,1.0,,3505.0,,-1
000036E1-000004BC-DB2D1A8B-259@2001:1234:5678:9abc:2754:46:4100:0,INVITE,2015-08-05 15:57:19.014255,"{'100': 1015, '183': 1060, '200': 4526}",200 OK,4526.0,True,1015.0,,4526.0,,-1
000005F8-000004BC-DB2D1A8B-260@2001:1234:5678:9abc:2754:2d:d800:0,INVITE,2015-08-05 15:57:19.039670,"{'100': 1032, '183': 1043, '200': 4545}",200 OK,4545.0,True,1032.0,,4545.0,,-1
000002FC-00001068-E3C73D10-7011@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.043722,"{'100': 1, '183': 4, '200': 3505}",200 OK,3505.0,True,1.0,,3505.0,,-1
000002FD-00001068-E3C73D10-7012@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.044208,"{'100': 1, '183': 4, '200': 3505}",200 OK,3505.0,True,1.0,,3505.0,,-1
0000177A-000004BC-DB2D1A8B-261@2001:1234:5678:9abc:2754:36:9a00:0,INVITE,2015-08-05 15:57:19.064264,"{'100': 1012, '183': 1018, '200': 4520}",200 OK,4520.0,True,1012.0,,4520.0,,-1
00000324-00001068-E3C73D10-7013@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.071254,"{'100': 1, '183': 4, '200': 3529}",200 OK,3529.0,True,1.0,,3529.0,,-1
000035BA-000004BC-DB2D1A8B-262@2001:1234:5678:9abc:2754:45:ba00:0,INVITE,2015-08-05 15:57:19.090110,"{'100': 1007, '183': 1036, '200': 4540}",200 OK,4540.0,True,1007.0,,4540.0,,-1
00000325-00001068-E3C73D10-7014@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.095795,"{'100': 1, '183': 28, '200': 3505}",200 OK,3505.0,True,1.0,,3505.0,,-1
00003176-000004BC-DB2D1A8B-263@2001:1234:5678:9abc:2754:43:9600:0,INVITE,2015-08-05 15:57:19.115277,"{'100': 1013, '183': 1037, '200': 4544}",200 OK,4544.0,True,1013.0,,4544.0,,-1
00000326-00001068-E3C73D10-7015@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.120303,"{'100': 1, '183': 5, '200': 3515}",200 OK,3515.0,True,1.0,,3515.0,,-1
000031B0-000004BC-DB2D1A8B-264@2001:1234:5678:9abc:2754:43:b000:0,INVITE,2015-08-05 15:57:19.139640,"{'100': 1016, '183': 1065, '200': 4527}",200 OK,4527.0,True,1016.0,,4527.0,,-1
00000328-00001068-E3C73D10-7016@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.142841,"{'100': 1, '183': 4, '200': 3506}",200 OK,3506.0,True,1.0,,3506.0,,-1
00003228-000004BC-DB2D1A8B-265@2001:1234:5678:9abc:2754:43:e800:0,INVITE,2015-08-05 15:57:19.189050,"{'100': 1006, '183': 1029, '200': 4517}",200 OK,4517.0,True,1006.0,,4517.0,,-1
0000322A-000004BC-DB2D1A8B-266@2001:1234:5678:9abc:2754:43:ea00:0,INVITE,2015-08-05 15:57:19.189487,"{'100': 1011, '183': 1041, '200': 4516}",200 OK,4516.0,True,1011.0,,4516.0,,-1
0000032B-00001068-E3C73D10-7017@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.196246,"{'100': 1, '183': 4, '200': 3504}",200 OK,3504.0,True,1.0,,3504.0,,-1
00000368-00001068-E3C73D10-7018@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.205521,"{'100': 2, '183': 4, '200': 3512}",200 OK,3512.0,True,2.0,,3512.0,,-1
000034F5-000004BC-DB2D1A8B-267@2001:1234:5678:9abc:2754:45:5500:0,INVITE,2015-08-05 15:57:19.214386,"{'100': 1012, '183': 1030, '200': 4534}",200 OK,4534.0,True,1012.0,,4534.0,,-1
000000B7-00001068-E3C73D10-7019@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.227631,"{'100': 1, '183': 3, '200': 3504}",200 OK,3504.0,True,1.0,,3504.0,,-1
000027B7-000004BC-DB2D1A8B-268@2001:1234:5678:9abc:2754:3e:b700:0,INVITE,2015-08-05 15:57:19.241907,"{'100': 1018, '183': 1033, '200': 4529}",200 OK,4529.0,True,1018.0,,4529.0,,-1
0000032C-00001068-E3C73D10-7020@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:19.247742,"{'100': 1, '183': 39, '200': 3513}",200 OK,3513.0,True,1.0,,3513.0,,-1
000033AE-000004BC-DB2D1A8B-269@2001:1234:5678:9abc:2754:44:ae00:0,INVITE,2015-08-05 15:57:19.264243,"{'100': 1012, '183': 1063, '200': 4545}",200 OK,4545.0,True,1012.0,,4545.0,,-1
000035B6-000004BC-DB2D1A8B-270@2001:1234:5678:9abc:2754:45:b600:0,INVITE,2015-08-05 15:57:19.289590,"{'100': 1029, '183': 1058, '200': 4541}",200 OK,4541.0,True,1029.0,,4541.0,,-1
